,SF
2000-01-31,449266.0
2000-02-29,452010.0
2000-03-31,455729.0
2000-04-30,463585.0
2000-05-31,472319.0
2000-06-30,481663.0
2000-07-31,491174.0
2000-08-31,501007.0
2000-09-30,510716.0
2000-10-31,520905.0
2000-11-30,531992.0
2000-12-31,544102.0
2001-01-31,555837.0
2001-02-28,566492.0
2001-03-31,573705.0
2001-04-30,580154.0
2001-05-31,584121.0
2001-06-30,587978.0
2001-07-31,589511.0
2001-08-31,591020.0
2001-09-30,592054.0
2001-10-31,590468.0
2001-11-30,586536.0
2001-12-31,579523.0
2002-01-31,575956.0
2002-02-28,574125.0
2002-03-31,575842.0
2002-04-30,577231.0
2002-05-31,581535.0
2002-06-30,587508.0
2002-07-31,595190.0
2002-08-31,603402.0
2002-09-30,609105.0
2002-10-31,613759.0
2002-11-30,615580.0
2002-12-31,618182.0
2003-01-31,619724.0
2003-02-28,625855.0
2003-03-31,631622.0
2003-04-30,638186.0
2003-05-31,638157.0
2003-06-30,637663.0
2003-07-31,638498.0
2003-08-31,640616.0
2003-09-30,644203.0
2003-10-31,647197.0
2003-11-30,652515.0
2003-12-31,658533.0
2004-01-31,668077.0
2004-02-29,677890.0
2004-03-31,687105.0
2004-04-30,696163.0
2004-05-31,708158.0
2004-06-30,719971.0
2004-07-31,729507.0
2004-08-31,735051.0
2004-09-30,746369.0
2004-10-31,760572.0
2004-11-30,774248.0
2004-12-31,784567.0
2005-01-31,791118.0
2005-02-28,802571.0
2005-03-31,812292.0
2005-04-30,825601.0
2005-05-31,838139.0
2005-06-30,849288.0
2005-07-31,856970.0
2005-08-31,860969.0
2005-09-30,868651.0
2005-10-31,877111.0
2005-11-30,882504.0
2005-12-31,884930.0
2006-01-31,883151.0
2006-02-28,876311.0
2006-03-31,872706.0
2006-04-30,873035.0
2006-05-31,881216.0
2006-06-30,885706.0
2006-07-31,884677.0
2006-08-31,882737.0
2006-09-30,879589.0
2006-10-31,875542.0
2006-11-30,872814.0
2006-12-31,870585.0
2007-01-31,869885.0
2007-02-28,870916.0
2007-03-31,877491.0
2007-04-30,888387.0
2007-05-31,896045.0
2007-06-30,899234.0
2007-07-31,898244.0
2007-08-31,899070.0
2007-09-30,899117.0
2007-10-31,899200.0
2007-11-30,900645.0
2007-12-31,895413.0
2008-01-31,890099.0
2008-02-29,876088.0
2008-03-31,872489.0
2008-04-30,866735.0
2008-05-31,867457.0
2008-06-30,858130.0
2008-07-31,846759.0
2008-08-31,835959.0
2008-09-30,826982.0
2008-10-31,822733.0
2008-11-30,816569.0
2008-12-31,812361.0
2009-01-31,806652.0
2009-02-28,798144.0
2009-03-31,788944.0
2009-04-30,775926.0
2009-05-31,765221.0
2009-06-30,758824.0
2009-07-31,757499.0
2009-08-31,751004.0
2009-09-30,739663.0
2009-10-31,734592.0
2009-11-30,733321.0
2009-12-31,744057.0
2010-01-31,749593.0
2010-02-28,759714.0
2010-03-31,759088.0
2010-04-30,759834.0
2010-05-31,755292.0
2010-06-30,753131.0
2010-07-31,746791.0
2010-08-31,748627.0
2010-09-30,748671.0
2010-10-31,747720.0
2010-11-30,740738.0
2010-12-31,731255.0
2011-01-31,724842.0
2011-02-28,718902.0
2011-03-31,716910.0
2011-04-30,713674.0
2011-05-31,708078.0
2011-06-30,699748.0
2011-07-31,697630.0
2011-08-31,696707.0
2011-09-30,696703.0
2011-10-31,693631.0
2011-11-30,691247.0
2011-12-31,691590.0
2012-01-31,691388.0
2012-02-29,697285.0
2012-03-31,703787.0
2012-04-30,708982.0
2012-05-31,712303.0
2012-06-30,718203.0
2012-07-31,730938.0
2012-08-31,744939.0
2012-09-30,758439.0
2012-10-31,768753.0
2012-11-30,777540.0
2012-12-31,788098.0
2013-01-31,805376.0
2013-02-28,815006.0
2013-03-31,826133.0
2013-04-30,835693.0
2013-05-31,853543.0
2013-06-30,872144.0
2013-07-31,886432.0
2013-08-31,897330.0
2013-09-30,901888.0
2013-10-31,904307.0
2013-11-30,910433.0
2013-12-31,922896.0
2014-01-31,934684.0
2014-02-28,958179.0
2014-03-31,975463.0
2014-04-30,992811.0
2014-05-31,997226.0
2014-06-30,997500.0
2014-07-31,999877.0
2014-08-31,992221.0
2014-09-30,992655.0
2014-10-31,996234.0
2014-11-30,1017041.0
2014-12-31,1028708.0
2015-01-31,1035715.0
2015-02-28,1047242.0
2015-03-31,1061495.0
2015-04-30,1078443.0
2015-05-31,1083663.0
2015-06-30,1097274.0
2015-07-31,1112495.0
2015-08-31,1128226.0
2015-09-30,1146776.0
2015-10-31,1164489.0
2015-11-30,1177106.0
2015-12-31,1190620.0
2016-01-31,1208402.0
2016-02-29,1216279.0
2016-03-31,1213019.0
2016-04-30,1200579.0
2016-05-31,1200326.0
2016-06-30,1195799.0
2016-07-31,1181428.0
2016-08-31,1166150.0
2016-09-30,1163512.0
2016-10-31,1171910.0
2016-11-30,1187910.0
2016-12-31,1192618.0
2017-01-31,1193552.0
2017-02-28,1186120.0
2017-03-31,1183732.0
2017-04-30,1192029.0
2017-05-31,1206440.0
2017-06-30,1222698.0
2017-07-31,1231716.0
2017-08-31,1243787.0
2017-09-30,1254912.0
2017-10-31,1266842.0
2017-11-30,1277335.0
2017-12-31,1283894.0
2018-01-31,1292071.0
2018-02-28,1302473.0
2018-03-31,1323679.0
2018-04-30,1345816.0
2018-05-31,1358762.0
2018-06-30,1377123.0
2018-07-31,1381131.0
2018-08-31,1389626.0
2018-09-30,1385264.0
2018-10-31,1391325.0
2018-11-30,1387879.0
2018-12-31,1382390.0
2019-01-31,1382268.0
2019-02-28,1383897.0
2019-03-31,1382246.0
2019-04-30,1379336.0
2019-05-31,1382798.0
2019-06-30,1386728.0
2019-07-31,1384584.0
2019-08-31,1380837.0
2019-09-30,1376790.0
2019-10-31,1384226.0
2019-11-30,1387481.0
2019-12-31,1400007.0
2020-01-31,1403256.0
2020-02-29,1413466.0
2020-03-31,1415325.0
2020-04-30,1424326.0
2020-05-31,1414520.0
2020-06-30,1404608.0
2020-07-31,1386464.0
2020-08-31,1388860.0
2020-09-30,1389928.0
2020-10-31,1385164.0
2020-11-30,1373082.0
2020-12-31,1365192.0
2021-01-31,1366949.0
2021-02-28,1374887.0
2021-03-31,1386685.0
2021-04-30,1395091.0
2021-05-31,1412255.0
2021-06-30,1429001.0
2021-07-31,1456663.0
2021-08-31,1471528.0
2021-09-30,1487257.0
2021-10-31,1495884.0
2021-11-30,1504368.0
2021-12-31,1510877.0
2022-01-31,1515455.0
2022-02-28,1535074.0
2022-03-31,1558256.0
2022-04-30,1581659.0
2022-05-31,1587709.0
2022-06-30,1580291.0
2022-07-31,1553553.0
2022-08-31,1521568.0
2022-09-30,1489059.0
2022-10-31,1466623.0
2022-11-30,1447664.0
2022-12-31,1438792.0
